排名,标题,作者,播放量,点赞,弹幕,链接,搜索词
1,他们笑我是凡人，直到我掏出了核聚变机甲！【UP动画】,不吃噼里啪啦的小丸子,3614048,166717,1705,https://www.bilibili.com/video/BV1oKAZzLEHm,AI漫剧 修仙
2,《逆骨成魔尊》第一集|我亲手挖掉自己的至尊骨送给妹妹，只为续她一命,阿林动漫_,3041839,14284,1,https://www.bilibili.com/video/BV1ZVJH6rExn,AI漫剧 修仙
3,《逃亡女皇》第一集！女皇逃亡，救助瞎眼剑客！,爱神漫剧馆,2069336,14609,77,https://www.bilibili.com/video/BV1rooQBsEPN,AI动画 玄幻
4,我穿越到了一个落魄家族，成了我爹的绝对靠山,阿林动漫_,1421563,8429,48,https://www.bilibili.com/video/BV1rqRQBnEjJ,AI漫剧 修仙
5,《一笼镇乾坤》第一集|我明明挥挥手能把修仙大能轻易打跑，却只能在十字街头卖点包子水饺,阿林动漫_,1322098,9404,13,https://www.bilibili.com/video/BV1JTVq6gE6s,AI漫剧 修仙
6,《断剑铸长生》第二集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,1190752,6179,2,https://www.bilibili.com/video/BV1c7E96KE4m,AI漫剧 修仙
7,胆小的千万别点进来，否则……【AI偶像】,赤鸢与白狐,1079549,31877,886,https://www.bilibili.com/video/BV1XmdgBxEMM,AI动画 玄幻
8,我明明是只诡，却生了个人类，还被叫做漂亮娘亲！,二喜喜漫馆,954158,5728,105,https://www.bilibili.com/video/BV1PNdaBvEMp,AI漫剧 修仙
9,《贪吃姐弟》擂台大比！,爱神漫剧馆,922792,1521,19,https://www.bilibili.com/video/BV1NUDZBYECc,AI动画 玄幻
10,《晚归九霄巅》第一集|我和小师妹一同穿越到了这修仙界，在逆天机缘下，我们千年内修成唯二的金丹修士,阿林动漫_,838774,4085,3,https://www.bilibili.com/video/BV1DFjn6DEgv,AI漫剧 修仙
